ticker,form,date,sentiment_score,sentiment_change,risk_language,risk_change,novelty,log_word_count,ret_5d,sentiment_quantile
UNH,10-Q,2022-11-02,0.018972106277942657,-0.006428804248571396,6.626277925028399,-0.01033614960220497,0.04722638680659674,9.670735486942808,-0.005097393195886646,
CVX,10-Q,2022-11-03,0.0008310146513395011,-0.08367011026712134,6.935912171535016,0.011433532134327073,0.09301249421564095,10.13586830920282,0.0009386813323870591,
PFE,10-Q,2022-11-09,-0.05910500884056091,-0.09490904957056046,7.667855148417028,0.24788949603251176,0.0856079404466501,10.748475604511441,0.028467451127792698,
NVDA,10-Q,2022-11-18,-0.2712518572807312,-0.07215505838394165,8.02161976664379,-1.2815961598493182,0.1928602525032651,10.056766423877352,0.027127036555748996,
HD,10-Q,2022-11-22,0.050033342093229294,0.01786402240395546,4.158312913046707,0.0791933871481465,0.05087440381558028,9.508071780280964,0.0032938904995294394,
COST,10-Q,2022-12-29,-0.16220641136169434,-0.07104663550853729,4.821600771456123,-2.9601496717130624,0.5028248587570621,9.429074214801693,0.057695848537082206,
MSFT,10-Q,2023-01-24,-0.08719544112682343,-0.02086753398180008,10.222997655525871,-0.08437750216158513,0.02203959656331711,10.510068711466475,0.02383893023074224,
AMZN,10-K,2023-02-03,0.029708418995141983,0.20307404175400734,8.268525967641011,-1.97546088129479,0.2514362960459615,10.708824377084602,-0.05590481490877708,4.0
AAPL,10-Q,2023-02-03,-0.1905377358198166,-0.15971528552472591,5.28950599792198,-2.7905778363949363,0.5944055944055944,9.267476563346992,-0.0210968267001429,0.0
PEP,10-K,2023-02-09,-0.048539310693740845,-0.08059700205922127,10.583123072610036,-1.6963818489375715,0.514894779994534,11.175226476196194,0.01580033901503186,
JNJ,10-K,2023-02-16,-0.058157600462436676,0.04029761254787445,8.818488090312666,1.696144609554481,0.38558931860036827,11.34564226315264,-0.007255942198048149,
KO,10-K,2023-02-21,0.02410898730158806,0.10350747779011726,8.833375258809188,-1.3322970326921055,0.5724499523355577,11.545963644047026,-0.004849380468835096,
PFE,10-K,2023-02-23,0.052507542073726654,0.11161255091428757,8.478176545558654,0.8103213971416254,0.3959919839679359,11.592466508369744,-0.03971611877108061,0.0
CVX,10-K,2023-02-23,0.08529730141162872,0.08446628676028922,6.357381903233431,-0.5785302683015843,0.5120377264829983,11.294520668003193,0.0038904721333308245,4.0
UNH,10-K,2023-02-24,-0.0921703577041626,-0.11114246398210526,8.522286069265414,1.8960081442370154,0.6131751482984702,10.849589481981912,-0.011913255244256127,4.0
NVDA,10-K,2023-02-24,-0.17546121776103973,0.09579063951969147,8.387841477491344,0.3662217108475545,0.4806704514733712,10.858633546178956,0.025938439434882943,0.0
COST,10-Q,2023-03-09,-0.07750950753688812,0.08469690382480621,4.511172199901319,-0.3104285715548043,0.026422764227642226,9.560151815893512,0.01614125714261405,
HD,10-K,2023-03-15,0.014856425113976002,-0.03517691697925329,7.173147112808287,3.01483419976158,0.647024504084014,10.766377507683169,-0.01861316248228717,
PEP,10-Q,2023-04-25,-0.05692023038864136,-0.008380919694900513,11.825503980632245,1.2423809080222092,0.5525591634562466,9.974877548622802,0.013388873305928639,4.0
MSFT,10-Q,2023-04-25,-0.08108934015035629,0.006106100976467133,9.999455070568361,-0.22354258495751012,0.011541325390915902,10.510613774571024,0.1088885330536864,0.0
KO,10-Q,2023-04-26,0.0077338675037026405,-0.016375119797885418,8.226602574442687,-0.6067726843665007,0.5847437425506555,10.341677965256997,0.0015735864505546093,
AMZN,10-Q,2023-04-28,-0.12313355505466461,-0.1528419740498066,11.085739540365351,2.8172135727243397,0.23719036308109942,10.20924281649528,0.0019915288757217375,0.0
JNJ,10-Q,2023-04-28,-0.05364686995744705,0.004510730504989624,7.8492520746339665,-0.9692360156786997,0.41884456671251724,10.541095595755303,-0.00623088806302563,4.0
UNH,10-Q,2023-05-03,0.003123712493106723,0.09529407019726932,7.459787085243609,-1.062498984021805,0.609511889862328,9.462654300590172,0.0012871702019563447,
CVX,10-Q,2023-05-04,-0.05634872987866402,-0.14164603129029274,8.442318953738043,2.084937050504612,0.5323184427252308,9.927838643399959,0.0,
AAPL,10-Q,2023-05-05,-0.15704362094402313,0.03349411487579346,4.774490578906982,-0.5150154190149978,0.12353471596032461,9.36990494164752,-0.004386263118070777,
PFE,10-Q,2023-05-10,-0.02938341535627842,-0.08189095743000507,8.814248833024749,0.3360722874660951,0.4209474315410754,10.554457654196888,-0.030087038746159034,
HD,10-Q,2023-05-23,0.0019985681865364313,-0.01285785692743957,5.007739233360648,-2.1654078794476392,0.6507523148148149,9.304194947447806,-0.0320386177491897,
NVDA,10-Q,2023-05-26,-0.21849004924297333,-0.043028831481933594,10.264958764695562,1.8771172872042179,0.4577220592157909,10.034384227337895,0.005777442211821526,
COST,10-Q,2023-06-01,-0.20083506405353546,-0.12332555651664734,4.409294512877939,-0.10187768702337952,0.04192021636240706,9.56724528946897,0.014611801010933512,
PEP,10-Q,2023-07-13,-0.02614380046725273,0.030776429921388626,12.360895900831103,0.5353919201988582,0.044801838024124074,10.254038784766838,0.00943862601188461,
KO,10-Q,2023-07-27,-0.05905453488230705,-0.0667884023860097,10.228703315148971,2.0021007407062843,0.03810049696300388,10.548730426438988,-0.012812241966125848,0.0
MSFT,10-K,2023-07-27,-0.0069727180525660515,0.07411662209779024,7.412518133248416,-2.586936937319945,0.3112176925126565,10.942473679094304,-0.012276454694723493,4.0
