ticker,form,date,sentiment_score,sentiment_change,risk_language,risk_change,novelty,log_word_count,ret_5d,sentiment_quantile,z_sentiment,z_sentiment_change,z_novelty,z_risk,alpha_signal
UNH,10-Q,2022-11-02,0.018972106277942657,-0.006428804248571396,6.626277925028399,-0.01033614960220497,0.04722638680659674,9.670735486942808,-0.005097393195886646,,0.9463843038361736,-0.10249921921140479,-1.0278410524973338,-0.8264248584346267,0.3972132985995588
CVX,10-Q,2022-11-03,0.0008310146513395011,-0.08367011026712134,6.935912171535016,0.011433532134327073,0.09301249421564095,10.13586830920282,0.0009386813323870591,,0.6988710572896811,-1.1188565779635815,-0.8215862686094422,-0.6908072417007842,0.0370266274267807
PFE,10-Q,2022-11-09,-0.05910500884056091,-0.09490904957056046,7.667855148417028,0.24788949603251176,0.0856079404466501,10.748475604511441,0.028467451127792698,,-0.11888346735051507,-1.2667409063678183,-0.8549419025305692,-0.3702213787681732,-0.49730709120781114
NVDA,10-Q,2022-11-18,-0.2712518572807312,-0.07215505838394165,8.02161976664379,-1.2815961598493182,0.1928602525032651,10.056766423877352,0.027127036555748996,,-3.013370540280059,-0.9673391021317752,-0.37179747954902115,-0.2152749703848687,-1.7876506729640114
HD,10-Q,2022-11-22,0.050033342093229294,0.01786402240395546,4.158312913046707,0.0791933871481465,0.05087440381558028,9.508071780280964,0.0032938904995294394,,1.3701772859031154,0.21715090590762395,-1.0114076624935655,-1.9073761320215863,0.9633684868104688
COST,10-Q,2022-12-29,-0.16220641136169434,-0.07104663550853729,4.821600771456123,-2.9601496717130624,0.5028248587570621,9.429074214801693,0.057695848537082206,,-1.5255773635480268,-0.9527542406878747,1.024514338457674,-1.6168607268916273,-0.34063347560865676
MSFT,10-Q,2023-01-24,-0.08719544112682343,-0.02086753398180008,10.222997655525871,-0.08437750216158513,0.02203959656331711,10.510068711466475,0.02383893023074224,,-0.5021434296050091,-0.2924870634339838,-1.1413011449233421,0.7489130229945574,-0.7967470226404754
AMZN,10-K,2023-02-03,0.029708418995141983,0.20307404175400734,8.268525967641011,-1.97546088129479,0.2514362960459615,10.708824377084602,-0.05590481490877708,4.0,1.0928683011208498,2.654183314912353,-0.10792728211179406,-0.10713179528768282,1.2097811075824851
AAPL,10-Q,2023-02-03,-0.1905377358198166,-0.15971528552472591,5.28950599792198,-2.7905778363949363,0.5944055944055944,9.267476563346992,-0.0210968267001429,0.0,-1.9121240080348738,-2.11947499645723,1.4370622904102568,-1.4119215369068647,-0.7736847963024639
PEP,10-K,2023-02-09,-0.048539310693740845,-0.08059700205922127,10.583123072610036,-1.6963818489375715,0.514894779994534,11.175226476196194,0.01580033901503186,,0.02527270054594627,-1.0784199734790474,1.0788862677885107,0.9066454164273094,-0.21390843025648837
JNJ,10-K,2023-02-16,-0.058157600462436676,0.04029761254787445,8.818488090312666,1.696144609554481,0.38558931860036827,11.34564226315264,-0.007255942198048149,,-0.10595722628953073,0.512336805800703,0.49639800869466966,0.13374773665072345,0.1657681563163969
KO,10-K,2023-02-21,0.02410898730158806,0.10350747779011726,8.833375258809188,-1.3322970326921055,0.5724499523355577,11.545963644047026,-0.004849380468835096,,1.0164708303504335,1.3440655141327242,1.3381576997705906,0.14026821148253518,1.1437241657804116
PFE,10-K,2023-02-23,0.052507542073726654,0.11161255091428757,8.478176545558654,0.8103213971416254,0.3959919839679359,11.592466508369744,-0.03971611877108061,0.0,1.4039347511308482,1.4507137718796435,0.5432593738261787,-0.015306320409354614,1.2042872420942183
CVX,10-K,2023-02-23,0.08529730141162872,0.08446628676028922,6.357381903233431,-0.5785302683015843,0.5120377264829983,11.294520668003193,0.0038904721333308245,4.0,1.85131134534311,1.0935175156573487,1.066015967430513,-0.9441994199906448,1.7015888984411818
UNH,10-K,2023-02-24,-0.0921703577041626,-0.11114246398210526,8.522286069265414,1.8960081442370154,0.6131751482984702,10.849589481981912,-0.011913255244256127,4.0,-0.5700201472083449,-1.4803435892494992,1.521614363100379,0.0040133399572448245,-0.27569571513076374
NVDA,10-K,2023-02-24,-0.17546121776103973,0.09579063951969147,8.387841477491344,0.3662217108475545,0.4806704514733712,10.858633546178956,0.025938439434882943,0.0,-1.7064231600289914,1.2425257322890029,0.9247143610182426,-0.05487244326881734,-0.29768344587048
COST,10-Q,2023-03-09,-0.07750950753688812,0.08469690382480621,4.511172199901319,-0.3104285715548043,0.026422764227642226,9.560151815893512,0.01614125714261405,,-0.3699905846702023,1.0965520235218245,-1.1215560879506414,-1.7528262523957772,0.2469602546566389
HD,10-K,2023-03-15,0.014856425113976002,-0.03517691697925329,7.173147112808287,3.01483419976158,0.647024504084014,10.766377507683169,-0.01861316248228717,,0.8902308138692426,-0.48077293608834,1.6740971129423672,-0.5869000101704803,0.8901714536907482
PEP,10-Q,2023-04-25,-0.05692023038864136,-0.008380919694900513,11.825503980632245,1.2423809080222092,0.5525591634562466,9.974877548622802,0.013388873305928639,4.0,-0.08907480871244146,-0.12818556504473272,1.2485547482680652,1.4507994940932585,-0.12714498207370223
MSFT,10-Q,2023-04-25,-0.08108934015035629,0.006106100976467133,9.999455070568361,-0.22354258495751012,0.011541325390915902,10.510613774571024,0.1088885330536864,0.0,-0.41883306948259125,0.06243770150391101,-1.188593189921087,0.6510029469855324,-0.6537061435919728
KO,10-Q,2023-04-26,0.0077338675037026405,-0.016375119797885418,8.226602574442687,-0.6067726843665007,0.5847437425506555,10.341677965256997,0.0015735864505546093,,0.7930521327777517,-0.23337493224749412,1.3935381019813537,-0.12549394590602866,0.717940345298848
AMZN,10-Q,2023-04-28,-0.12313355505466461,-0.1528419740498066,11.085739540365351,2.8172135727243397,0.23719036308109942,10.20924281649528,0.0019915288757217375,0.0,-0.9924755130389137,-2.0290345176950977,-0.17210159155240437,1.1267878853473337,-1.3282187551681657
JNJ,10-Q,2023-04-28,-0.05364686995744705,0.004510730504989624,7.8492520746339665,-0.9692360156786997,0.41884456671251724,10.541095595755303,-0.00623088806302563,4.0,-0.044413766030004194,0.04144548112078219,0.6462044543754969,-0.29077080411780065,0.22239830188851784
UNH,10-Q,2023-05-03,0.003123712493106723,0.09529407019726932,7.459787085243609,-1.062498984021805,0.609511889862328,9.462654300590172,0.0012871702019563447,,0.7301521454317952,1.2359917686497406,1.505112314338689,-0.4613537233468686,1.1656905242997222
